"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"VKORC1L1",103.601219793365,-1.01011414592402,0.156868880034041,1.88801846788878e-13,1.52917700288208e-11
"VPS26A",69.6520834916385,-0.558247922141544,0.0779217334365066,1.92115489523143e-13,1.54774122978442e-11
"ZRANB2",182.062752946492,-0.674631018966995,0.0955624217408061,2.01904250049181e-13,1.61930830140341e-11
"RBM42",140.209548285971,0.637099227298165,0.0898526855749214,2.07143719822465e-13,1.6539131379575e-11
"PPP2R1A",476.349617954382,0.469314615023526,0.0650965742293154,2.11592705687499e-13,1.68192690720929e-11
"CNIH1",55.6538666227761,-0.72103217450429,0.103057167095987,2.26173758530266e-13,1.78987507580257e-11
"PIEZO1",793.554273360178,0.760062917978629,0.109510782392118,2.45453228354392e-13,1.93389030357634e-11
"PSMD3",193.03195622853,0.439429255694743,0.0609889162218113,2.47525697540128e-13,1.94166539495842e-11
"TBC1D10B",341.294998013197,0.52548643086953,0.0735163069091352,2.55837500053758e-13,1.99810204736308e-11
"CC2D1A",120.237979893427,0.581271622427537,0.0818206076504429,2.61599819240227e-13,2.03422294222237e-11
"LYSMD3",63.3704559364817,-0.709465036900956,0.101642373556152,2.76926776341553e-13,2.14408458652324e-11
"SIPA1L3",326.199412088322,0.685295622996534,0.097989642578411,2.99672101337194e-13,2.31018772948953e-11
"OGDH",439.859503264884,0.576622274894961,0.0813808347185346,3.07235843867457e-13,2.35833178865642e-11
"ARHGEF2",1214.28163561668,0.447650550569517,0.0624518716100391,3.14088240049738e-13,2.40062742448272e-11
"DIMT1",93.8955155943563,-0.53004901556147,0.0745898620437014,3.38265364259994e-13,2.57441533608085e-11
"CAMTA2",388.754650661111,0.481481773638907,0.0674995966639318,3.50146559874353e-13,2.65354712853932e-11
"THUMPD1",184.103802851003,-0.394041809455181,0.0548939107402811,3.57454425791085e-13,2.69749890517872e-11
"AKT2",686.321161330819,0.461160013778295,0.0646066595578612,3.69221138665094e-13,2.77458826261563e-11
